type,total,amount,fee,timestamp,market
sell,10,5.8,0.007031804,2025-01-02T09:09:45.851704+00:00,ADA-USDT
sell,10,5.3,0.00689,2025-01-02T09:09:28.058097+00:00,DOGE-USDT
sell,5.9022,5.4,0.00767286,2025-01-03T20:08:27.657032+00:00,ADA-USDT
buy,5.8968,5.4,0.00702,2025-01-03T20:05:05.444188+00:00,ADA-USDT
sell,5.9022,5.4,0.00767286,2025-01-03T20:08:27.657032+00:00,ADA-USDT
buy,5.8968,5.4,0.00702,2025-01-03T20:05:05.444188+00:00,ADA-USDT
sell,5.9022,5.4,0.00767286,2025-01-03T20:08:27.657032+00:00,ADA-USDT
buy,5.8968,5.4,0.00702,2025-01-03T20:05:05.444188+00:00,ADA-USDT
sell,5.9022,5.4,0.00767286,2025-01-03T20:08:27.657032+00:00,ADA-USDT
buy,5.8968,5.4,0.00702,2025-01-03T20:05:05.444188+00:00,ADA-USDT
sell,5.9022,5.4,0.00767286,2025-01-03T20:08:27.657032+00:00,ADA-USDT
buy,5.8968,5.4,0.00702,2025-01-03T20:05:05.444188+00:00,ADA-USDT
sell,5.9022,5.4,0.00767286,2025-01-03T20:08:27.657032+00:00,ADA-USDT
buy,5.8968,5.4,0.00702,2025-01-03T20:05:05.444188+00:00,ADA-USDT
sell,5.9022,5.4,0.00767286,2025-01-03T20:08:27.657032+00:00,ADA-USDT
buy,5.8968,5.4,0.00702,2025-01-03T20:05:05.444188+00:00,ADA-USDT
