gen,evals,dataset_i,avg,std,min,max
1,98,0,[-90.02172536  17.70099572],[ 29.9355509  232.02326468],[-100. -100.],[1.82409965e-02 2.31513938e+03]
2,100,0,[-88.03521535  23.08770396],[ 32.40217501 232.19489027],[-100. -100.],[4.71758551e-01 2.31513938e+03]
3,96,0,[-86.00331053  50.24391171],[ 34.69099653 325.95905644],[-100. -100.],[4.71758551e-01 2.31513938e+03]
4,92,0,[-80.02017654  50.56292421],[ 39.96041587 326.00858891],[-100. -100.],[4.71758551e-01 2.31513938e+03]
5,99,0,[-77.01451065  59.70388926],[ 42.05748171 328.93396241],[-100. -100.],[5.59330089e-01 2.31513938e+03]
6,96,0,[-72.00331268  65.60359819],[ 44.89538405 329.27019738],[-100. -100.],[6.07611464e-01 2.31513938e+03]
7,95,0,[-64.97672526  97.42184369],[ 47.72993107 398.48332962],[-100. -100.],[2.15335219e+00 2.31513938e+03]
8,96,0,[-56.96696742 125.01357233],[ 49.54684907 454.9372629 ],[-100. -100.],[2.15335219e+00 2.31513938e+03]
9,98,1,[-49.93103517  31.02257995],[ 50.06997549 281.92384957],[-100. -100.],[1.63751162e+00 2.24388701e+03]
10,95,1,[-21.84882543  23.06463592],[ 41.5068839 290.3031928],[-100. -100.],[1.63751162e+00 2.24388701e+03]
11,93,1,[ -1.74861428 104.84065439],[ 14.04519518 450.04975395],[-100. -100.],[   2.93703854 2243.88700792]
12,95,1,[ -1.62378632 202.55159394],[ 14.06542439 496.35641669],[-100. -100.],[   2.93703854 2243.88700792]
13,93,1,[ -1.42579195 306.69507469],[ 14.09382564 496.65691136],[-100. -100.],[   2.93703854 2243.88700792]
14,90,1,[  0.69325281 393.36571407],[  0.59246822 524.66739376],[0.00022535 0.0800641 ],[   2.93703854 2243.88700792]
15,100,1,[  0.7978286  394.54817366],[  0.63369912 526.72676852],[0.00055796 0.0800641 ],[   2.93703854 2243.88700792]
16,99,1,[  0.78269585 422.90579573],[  0.63941411 519.98533128],[0.00055796 0.0800641 ],[   2.93703854 2243.88700792]
17,94,2,[-46.54113325  11.35530396],[50.34538338 94.01847194],[-100. -100.],[  2.4077118  709.86095958]
18,96,2,[-9.92086364 62.45917711],[ 31.67616498 186.6566416 ],[-100. -100.],[   2.9402038  1080.21227865]
19,95,2,[ 1.55266156 78.97251906],[  0.63968802 201.75752345],[0.03067731 0.09371695],[   3.21486225 1080.21227865]
20,99,2,[  1.63584377 105.02022065],[  0.7414024  252.47245554],[0.03067731 0.41710119],[   3.21486225 1521.09004345]
21,96,2,[  1.59525223 133.49578432],[  0.87163304 260.0585343 ],[0.0304624  0.48658887],[   3.21486225 1521.09004345]
22,93,2,[  1.3064241 178.1351845],[  0.95246964 265.15915128],[0.0304624  2.84421144],[   3.21486225 1521.09004345]
23,95,2,[  1.38859283 219.20585816],[  0.93967567 293.91753161],[ 0.03743785 13.3683587 ],[   3.21486225 1521.09004345]
24,97,2,[  1.34815227 269.91126576],[  0.96510036 322.21248781],[0.03743785 4.48323003],[   3.38559882 1521.09004345]
25,96,0,[ 1.13136042 97.31944123],[  0.95449956 136.97572356],[0.00192632 1.04069389],[  3.51345086 744.37294394]
26,96,0,[  1.1227543  147.09827506],[  0.95826812 183.66965979],[0.00192632 1.52465257],[  3.51345086 937.83514242]
27,95,0,[  1.10258446 211.63892879],[  0.98690273 306.77100471],[0.0092368  1.52465257],[   3.51345086 2031.71685396]
28,95,0,[  1.02440952 302.01670371],[  0.99330025 396.87104337],[0.0092368  1.52465257],[   3.51345086 2031.71685396]
29,96,0,[  0.97305994 460.24726698],[  1.05659146 664.52829246],[0.00574143 1.53768066],[   4.173708   3652.55982395]
30,95,0,[  1.0297204  526.61769479],[  1.14493893 707.80764731],[8.22826097e-04 2.05754639e+00],[   4.77156787 3652.55982395]
31,95,0,[  1.10415777 612.94188357],[  1.19818397 962.68623733],[0.00574143 3.02208373],[4.77156787e+00 5.04882627e+03]
32,97,0,[  1.18106154 668.50660791],[   1.26603394 1076.59140981],[0.00593706 3.02208373],[4.77156787e+00 5.04882627e+03]
33,96,1,[ -1.37405938 -25.22300679],[14.11829762 80.54200914],[-100. -100.],[  3.73421717 293.88349556]
34,93,1,[-0.84064888 40.66919346],[14.19661316 71.58501826],[-100. -100.],[  3.97375178 293.88349556]
35,92,1,[ 1.47645297 78.60444797],[  0.99285689 208.46522685],[0.03807618 0.6520359 ],[   3.97375178 2014.72117335]
36,95,1,[  1.63523883 111.92718823],[  1.08033212 284.13596025],[0.03807618 0.6520359 ],[   3.97375178 2014.72117335]
37,98,1,[  1.61795104 147.77820338],[  1.16035316 340.89001051],[0.02503365 1.4569942 ],[   3.97375178 2014.72117335]
38,97,1,[  1.67769631 177.85431867],[  1.32030515 353.180577  ],[5.63893604e-63 1.45699420e+00],[   3.97375178 2014.72117335]
39,95,1,[  1.77378918 209.03787781],[  1.38472438 397.58960653],[5.63893604e-63 1.77411044e+00],[   4.99162035 2014.72117335]
40,92,1,[  1.76179947 250.18545427],[  1.4231546  437.35311996],[5.63893604e-63 1.77411044e+00],[   4.99162035 2014.72117335]
41,97,2,[ 1.40144618 35.69205639],[ 0.98339206 51.3940138 ],[   0. -100.],[  4.58300003 304.66147919]
42,98,2,[ 1.71180616 58.2508825 ],[ 1.04652708 60.08753343],[0.00809579 1.63943296],[  4.58300003 304.66147919]
43,96,2,[ 1.78307214 75.14473165],[ 1.09655848 73.31908523],[0.00809579 1.68834632],[  4.58300003 380.79082827]
44,95,2,[ 2.02825217 92.44499562],[  1.14086864 102.42173315],[0.00809579 1.82569525],[  4.58300003 458.36446385]
45,99,2,[  2.18823844 108.1927449 ],[  1.23528318 115.40879798],[0.00809579 1.82569525],[  4.95061698 458.36446385]
46,95,2,[  2.35726053 117.88131323],[  1.15703621 132.20935225],[0.12195306 2.05012656],[  4.95061698 466.54841838]
47,99,2,[  2.26975029 158.07019659],[  1.16644616 158.8661104 ],[0.01332396 2.05012656],[  4.95061698 681.56619003]
48,98,2,[  2.41684642 162.09608387],[  1.12556712 174.46770146],[0.01332396 2.05012656],[  4.95061698 681.56619003]
49,96,0,[ 2.26784994 47.77261218],[ 1.38776142 71.83445259],[1.07964939e-06 9.78048907e-01],[  5.34510735 598.73451059]
50,93,0,[ 2.27701177 77.98524006],[  1.55271494 137.40720529],[3.09998598e-04 9.55333634e-01],[   5.71072828 1193.72825527]
51,97,0,[  2.21267235 121.12830501],[  1.62579774 230.7787444 ],[3.02319562e-04 1.33873069e+00],[   5.71072828 1673.31668714]
52,98,0,[  2.20963099 152.58737071],[  1.5771705  280.73435883],[3.02319562e-04 1.34853404e+00],[   5.71072828 1673.31668714]
53,99,0,[  2.32758753 179.306866  ],[  1.6360043  324.69213461],[4.39870736e-05 1.34853404e+00],[   6.26078126 1673.31668714]
54,96,0,[  2.3558178  249.50916513],[  1.73660673 543.70602674],[4.39870736e-05 1.34853404e+00],[   6.59191567 4325.52131656]
55,98,0,[  2.5109316  451.32650402],[   1.75447147 1709.5658804 ],[3.02319562e-04 1.34853404e+00],[6.59191567e+00 1.54668875e+04]
56,97,0,[  2.59417004 590.7816461 ],[1.82842682e+00 1.84889446e+03],[2.36837564e-04 1.34853404e+00],[6.59191567e+00 1.54668875e+04]
57,96,1,[ 0.86722386 -5.40583306],[ 1.41654961 98.63720462],[-4.46524847e-02 -1.00000000e+02],[  5.39337812 560.77208955]
58,95,1,[ 1.51354771 50.62316848],[ 1.59366913 65.31278238],[0.00286833 1.7670859 ],[  5.76860016 560.77208955]
59,92,1,[ 2.14894975 75.16058097],[ 1.63668911 80.08144377],[0.00286833 2.80188786],[  6.89008519 560.77208955]
60,95,1,[ 2.5471457  93.43964653],[ 1.73915057 99.67040659],[0.02172384 2.80188786],[  7.59487734 560.77208955]
61,98,1,[  2.6864671  117.90935951],[  1.86576558 144.73016753],[0.02464102 3.45210565],[   7.59487734 1025.12896428]
62,93,1,[  2.51546408 150.75386807],[  1.84919677 161.33341295],[0.02464102 4.07039459],[   7.59487734 1025.12896428]
63,98,1,[  2.68027147 180.50363581],[  1.91649442 202.18550926],[0.02043762 5.24281526],[   8.10245005 1025.12896428]
64,94,1,[  2.74978061 208.15046462],[  1.93768559 254.99674957],[0.0139432  3.76335524],[   8.10245005 1371.93341695]
65,97,2,[ 0.57059915 27.56395883],[  0.69787901 121.08482381],[  -0.12102994 -100.        ],[  3.36515948 500.42867506]
66,96,2,[ 1.00966016 86.31014667],[  0.83059525 102.13160693],[0.01974901 3.34254863],[  5.7954991  500.42867506]
67,99,2,[  1.34452469 120.25700653],[  0.90397413 121.12626703],[0.0894612  2.27282565],[  5.7954991  695.00455888]
68,98,2,[  1.601593   126.72486922],[  1.01774013 128.12955661],[0.0894612  1.46884791],[  5.7954991  695.00455888]
69,95,2,[  1.84431301 147.83095149],[  1.20780312 147.33758495],[0.1001201  1.46884791],[  5.7954991  695.00455888]
70,99,2,[  2.15322158 167.89719566],[  1.38129354 204.92137003],[0.34846227 2.76326113],[  5.7954991  957.96409688]
71,98,2,[  2.18757937 200.73973603],[  1.49368931 230.63625926],[0.34846227 2.76326113],[   5.7954991  1024.47191942]
72,94,2,[  2.3552174 205.1136834],[  1.59856335 243.89939293],[0.35586213 3.99083039],[   5.7954991  1024.47191942]
73,95,0,[ 2.55862613 64.9107017 ],[  1.59585608 104.46873147],[1.61010086e-06 1.35743498e+00],[  5.7292497  840.92820515]
74,97,0,[ 2.73143471 97.03344679],[  1.7565018  144.67110022],[8.48245487e-06 7.71740638e-01],[  6.03880005 840.92820515]
75,96,0,[  2.68019214 130.90126074],[  1.8985389  164.63499866],[0.00099131 0.70738463],[  6.47498794 840.92820515]
76,97,0,[  2.81099473 146.99943159],[  1.77404232 193.63446971],[0.00681161 0.77174064],[   7.07045228 1150.67700946]
77,98,0,[  2.60550133 245.62935449],[  1.80683649 745.36665784],[0.00681161 0.77174064],[7.07045228e+00 7.38866440e+03]
78,97,0,[  2.40218917 411.93476228],[   1.7664845  1308.52642211],[1.59355632e-03 5.24026661e+00],[7.43764369e+00 1.07563356e+04]
79,99,0,[  2.60661464 513.26548885],[   1.86181487 1665.86775963],[1.59355632e-03 5.24026661e+00],[7.43764369e+00 1.07563356e+04]
80,96,0,[  2.83671289 516.76381097],[   1.96482759 1670.84667385],[1.59355632e-03 5.38908806e+00],[7.43764369e+00 1.07563356e+04]
81,94,1,[ 0.42520115 50.26847651],[  0.65629242 209.2310445 ],[-4.23808317e-02 -1.00000000e+02],[   3.11885548 1120.70759565]
82,94,1,[ -0.20062403 109.36790005],[ 10.07600978 193.62749767],[-100. -100.],[   5.55475728 1120.70759565]
83,98,1,[  1.56898401 155.42926656],[  1.47110913 196.73766193],[1.78429926e-05 2.65514586e+00],[   7.06378137 1120.70759565]
84,96,1,[  2.07753641 195.44405585],[  1.76967663 212.94414597],[1.78429926e-05 2.65514586e+00],[   7.06378137 1120.70759565]
85,94,1,[  2.4191129  229.87371863],[  2.04466622 228.14985775],[1.78429926e-05 3.68831160e+00],[   8.53448772 1120.70759565]
86,94,1,[  2.58695351 305.50213857],[  2.1575279  635.85077882],[1.78429926e-05 7.64293119e+00],[   8.53448772 6162.43030369]
87,97,1,[  2.54879351 383.34592188],[  2.18406861 693.81890859],[1.99765866e-05 4.45471197e+00],[   8.53448772 6162.43030369]
88,99,1,[  2.80747709 397.65763416],[  2.35834664 700.53287814],[1.99765866e-05 4.45471197e+00],[   8.53448772 6162.43030369]
89,99,2,[ -1.44510609 -24.11766804],[14.11420137 76.09751647],[-100. -100.],[  6.51318926 251.62641043]
90,98,2,[ 1.099282   48.51173936],[ 1.0809439  67.70251885],[0.01898503 0.66617386],[  6.51318926 485.40302427]
91,97,2,[ 1.56003123 78.45956414],[  1.18444804 158.16148309],[0.15185828 0.66617386],[   6.51318926 1476.888278  ]
92,96,2,[  1.76089493 103.69401661],[  1.28083558 161.93873729],[0.14121479 2.09606231],[   6.51318926 1476.888278  ]
93,96,2,[  2.05561992 119.77645993],[  1.32380203 168.08819945],[0.14121479 2.09606231],[   6.51318926 1476.888278  ]
94,100,2,[  2.31746446 137.33323663],[  1.5307714 170.2952572],[0.14121479 2.09606231],[   6.51318926 1476.888278  ]
95,98,2,[  2.38894809 168.48928799],[  1.64161952 219.38367581],[0.06677333 2.09606231],[   6.51318926 1476.888278  ]
96,96,2,[  2.61529929 176.40875131],[  1.74481813 249.04001726],[0.06677333 2.2351669 ],[   6.51318926 1476.888278  ]
